SIGMA-LI,DateOf,cecha1,cecha2
PPR-R20PN20,10/18/2011,0,0
PPR-R20PN20,10/24/2011,100,153
PPR-R20PN20,10/24/2011,28,42.84
PPR-R20PN20,10/22/2011,20,30.6
PPR-R20PN20,11/2/2011,20,30.6
PPR-R20PN20,11/2/2011,32,48.96
PPR-R20PN20,11/2/2011,80,122.4
PPR-R20PN20,10/31/2011,173,264.69
PPR-R20PN20,10/31/2011,27,41.31
PPR-R20PN20,11/5/2011,4,6.12
PPR-R20PN20,10/31/2011,12,18.36
PPR-R20PN20,11/12/2011,120,193.2
PPR-R20PN20,11/12/2011,143,218.79
PPR-R20PN20,11/12/2011,2,2.62
PPR-R20PN20,11/12/2011,4,6.12
PPR-R20PN20,11/12/2011,502,768.06
PPR-R20PN20,11/12/2011,680,1094.8
PPR-R20PN20,11/12/2011,4,6.12
PPR-R20PN20,11/12/2011,2,2.62
PPR-R20PN20,11/12/2011,502,768.06
PPR-R20PN20,11/12/2011,680,1094.8
PPR-R20PN20,11/12/2011,4,6.12
PPR-R20PN20,11/12/2011,2,2.62
PPR-R20PN20,11/17/2011,12,18.36
PPR-R20PN20,11/18/2011,4,6.12
PPR-R20PN20,11/18/2011,200,306
PPR-R20PN20,11/25/2011,8,12.88
PPR-R20PN20,11/28/2011,600,966
PPR-R20PN20,11/28/2011,24,38.64
PPR-R20PN20,11/28/2011,320,515.2
PPR-R20PN20,11/30/2011,4,6
PPR-R20PN20,11/30/2011,8,12.24
PPR-R20PN20,11/29/2011,80,128.8
PPR-R20PN20,12/1/2011,28,45.08
PPR-R20PN20,12/2/2011,4,6.44
PPR-R20PN20,12/5/2011,8,12.88
PPR-R20PN20,12/1/2011,80,128.8
PPR-R20PN20,11/22/2011,0,0
PPR-R20PN20,12/3/2011,20,32.2
PPR-R20PN20,11/23/2011,286,437.58
PPR-R20PN20,11/23/2011,34,54.74
PPR-R20PN20,12/7/2011,40,64.4
PPR-R20PN20,12/6/2011,600,966
PPR-R20PN20,12/1/2011,12,19.32
PPR-R20PN20,12/14/2011,26,41.86
PPR-R20PN20,12/14/2011,4,6.12
PPR-R20PN20,12/14/2011,2,2.62
PPR-R20PN20,12/14/2011,288,463.68
PPR-R20PN20,12/16/2011,32,51.52
PPR-R20PN20,12/15/2011,8,12.88
PPR-R20PN20,12/19/2011,1000,1610
PPR-R20PN20,12/20/2011,12,19.32
PPR-R20PN20,1/2/2012,4,6.44
PPR-R20PN20,12/22/2011,8,12
PPR-R20PN20,1/11/2012,60,96.6
PPR-R20PN20,1/9/2012,20,32.2
PPR-R20PN20,1/17/2012,4,6.44
PPR-R20PN20,1/13/2012,32,51.52
PPR-R20PN20,1/17/2012,16,25.76
